Aeroporto,Anno,Periodo,Zona,Pass_Arrivo,Pass_Partenza
Alghero,2014,S2,13 + 14,12431,12249
Alghero,2014,S2,03 + 04,27746,26111
Olbia,2014,S2,04,6090,4609
Alghero,2014,S3,03 + 04,30972,28569
Olbia,2014,S3,02,79625,73649
Alghero,2014,S3,12,23037,21980
Alghero,2014,S3,13 + 14,16070,13209
Olbia,2014,S3,03,29308,26871
Olbia,2014,S3,04,10330,9418
Alghero,2014,S3,02,34186,29289
Olbia,2014,S3,14,28369,24524
Olbia,2014,S3,11,27960,23191
Olbia,2014,S3,12,15925,13920
Olbia,2014,S3,13,23505,20756
Alghero,2014,S3,11,9697,8438
Alghero,2014,S4,03 + 04,33433,34554
Alghero,2014,S4,11,10074,10657
Olbia,2014,S4,14,30484,31387
Alghero,2014,S4,12,17056,19349
Olbia,2014,S4,12,14938,15998
Olbia,2014,S4,11,32056,36338
Alghero,2014,S4,02,34280,35207
Alghero,2014,S4,13 + 14,15889,17061
Olbia,2014,S4,02,83343,90975
Olbia,2014,S4,03,30852,33882
Olbia,2014,S4,13,22732,24497
Olbia,2014,S4,04,14730,15860
Alghero,2014,S5,12,21278,23941
Olbia,2014,S5,02,52001,69385
Olbia,2014,S5,04,4385,6049
Alghero,2014,S5,13 + 14,24983,27359
Olbia,2014,S5,03,26250,31437
Olbia,2014,S5,12,11391,14398
Olbia,2014,S5,14,41890,49212
Alghero,2014,S5,11,14478,16116
Olbia,2014,S5,11,19613,23238
Alghero,2014,S5,02,38237,45759
Alghero,2014,S5,03 + 04,44378,50805
Olbia,2014,S5,13,22014,27382
Alghero,2014,W1,11 + 12,15093,15684
Alghero,2014,W1,13 + 14,5976,5981
Olbia,2014,W1,03 + 04,26873,27410
Alghero,2014,W1,03 + 04,41871,42902
Olbia,2014,W1,02,31696,33968
Olbia,2014,W1,13 + 14,2601,2579
Alghero,2014,W1,02,33955,34288
Olbia,2014,W1,11 + 12,1371,1696
Alghero,2014,W2,03 + 04,47245,46303
Olbia,2014,W2,02,26524,26316
Olbia,2014,W2,11 + 12,79,1437
Olbia,2014,W2,13 + 14,2298,4902
Olbia,2014,W2,03 + 04,20811,21434
Alghero,2014,W2,11 + 12,12020,13426
Alghero,2014,W2,13 + 14,7000,9117
Alghero,2014,W2,02,31463,30748
Alghero,2013,S1,12,19434,18012
Alghero,2013,S1,11,9552,9585
Alghero,2013,S1,13 + 14,24443,23241
